Date,Asset,Daily Return,Asset Class
2023-08-23,BTC-INR,0.008947140183423796,Crypto
2023-08-24,BTC-INR,-0.009027758521238272,Crypto
2023-08-25,BTC-INR,-0.005509453937586395,Crypto
2023-08-26,BTC-INR,-0.0015052159931466802,Crypto
2023-08-27,BTC-INR,0.00453642854123637,Crypto
2023-08-28,BTC-INR,0.00096246903969055,Crypto
2023-08-29,BTC-INR,0.059644885498375544,Crypto
2023-08-30,BTC-INR,-0.013126178127655708,Crypto
2023-08-31,BTC-INR,-0.05024071966286625,Crypto
2023-09-01,BTC-INR,-0.004546349185176157,Crypto
2023-09-02,BTC-INR,0.002638409312688772,Crypto
2023-09-03,BTC-INR,0.0038972572701487795,Crypto
2023-09-04,BTC-INR,-0.00591372785959543,Crypto
2023-09-05,BTC-INR,0.0029973983916478097,Crypto
2023-09-06,BTC-INR,0.0010042001570258474,Crypto
2023-09-07,BTC-INR,0.01871378889834996,Crypto
2023-09-08,BTC-INR,-0.015082547814965985,Crypto
2023-09-09,BTC-INR,-0.00038510971094696256,Crypto
2023-09-10,BTC-INR,-0.0026118265627190773,Crypto
2023-09-11,BTC-INR,-0.026998124262564094,Crypto
2023-09-12,BTC-INR,0.025562873273808018,Crypto
2023-09-13,BTC-INR,0.01640307036621902,Crypto
2023-09-14,BTC-INR,0.012922334296663784,Crypto
2023-09-15,BTC-INR,0.0035122857960043774,Crypto
2023-09-16,BTC-INR,-0.0015187965487569732,Crypto
2023-09-17,BTC-INR,-0.0014995934543718947,Crypto
2023-09-18,BTC-INR,0.010183157352574135,Crypto
2023-09-19,BTC-INR,0.016596800977247694,Crypto
2023-09-20,BTC-INR,-0.00428836505474961,Crypto
2023-09-21,BTC-INR,-0.023225476905715414,Crypto
2023-09-22,BTC-INR,0.0030784985918834717,Crypto
2023-09-23,BTC-INR,-6.791186850430009e-06,Crypto
2023-09-24,BTC-INR,-0.013613479239200754,Crypto
2023-09-25,BTC-INR,0.00224426786813825,Crypto
2023-09-26,BTC-INR,0.00015662560663809444,Crypto
2023-09-27,BTC-INR,0.004398452671444897,Crypto
2023-09-28,BTC-INR,0.02494063422648396,Crypto
2023-09-29,BTC-INR,-0.004339015197005969,Crypto
2023-09-30,BTC-INR,0.002088162751831435,Crypto
2023-10-01,BTC-INR,0.035890550471936455,Crypto
2023-10-02,BTC-INR,-0.012324239345533283,Crypto
2023-10-03,BTC-INR,-0.0052573093560869255,Crypto
2023-10-04,BTC-INR,0.013802439606387384,Crypto
2023-10-05,BTC-INR,-0.014134522188361087,Crypto
2023-10-06,BTC-INR,0.017868050560403637,Crypto
2023-10-07,BTC-INR,0.0009789036257863426,Crypto
2023-10-08,BTC-INR,-0.0011482857603425378,Crypto
2023-10-09,BTC-INR,-0.010848799486585459,Crypto
2023-10-10,BTC-INR,-0.007223187952762111,Crypto
2023-10-11,BTC-INR,-0.02009051591395894,Crypto
2023-10-12,BTC-INR,-0.0029815334898631862,Crypto
2023-10-13,BTC-INR,0.004149418568572427,Crypto
2023-10-14,BTC-INR,-2.4920806593775602e-05,Crypto
2023-10-15,BTC-INR,0.011128367368217873,Crypto
2023-10-16,BTC-INR,0.04898559313575901,Crypto
2023-10-17,BTC-INR,-0.002951877733932351,Crypto
2023-10-18,BTC-INR,-0.002903446430541523,Crypto
2023-10-19,BTC-INR,0.012043664842793955,Crypto
2023-10-20,BTC-INR,0.035151021242523006,Crypto
2023-10-21,BTC-INR,0.007932552012385186,Crypto
2023-10-22,BTC-INR,0.0014104009947080165,Crypto
2023-10-23,BTC-INR,0.10136776177948548,Crypto
2023-10-24,BTC-INR,0.024481687285117015,Crypto
2023-10-25,BTC-INR,0.019394614711290004,Crypto
2023-10-26,BTC-INR,-0.008472368252965712,Crypto
2023-10-27,BTC-INR,-0.005634403892336715,Crypto
2023-10-28,BTC-INR,0.005301578833774689,Crypto
2023-10-29,BTC-INR,0.013112267670803979,Crypto
2023-10-30,BTC-INR,-0.00301422678596297,Crypto
2023-10-31,BTC-INR,0.005158695964383231,Crypto
2023-11-01,BTC-INR,0.021901127948918075,Crypto
2023-11-02,BTC-INR,-0.014273200963602073,Crypto
2023-11-03,BTC-INR,-0.006835130322744631,Crypto
2023-11-04,BTC-INR,0.010073411784420339,Crypto
2023-11-05,BTC-INR,-0.0009262555265551198,Crypto
2023-11-06,BTC-INR,0.0004209711206777378,Crypto
2023-11-07,BTC-INR,0.011713556587916507,Crypto
2023-11-08,BTC-INR,0.005804095628852535,Crypto
2023-11-09,BTC-INR,0.03032460460546149,Crypto
2023-11-10,BTC-INR,0.016638080894002316,Crypto
2023-11-11,BTC-INR,-0.0047145483052175585,Crypto
2023-11-12,BTC-INR,-0.0021686591973972824,Crypto
2023-11-13,BTC-INR,-0.016254532583983905,Crypto
2023-11-14,BTC-INR,-0.028339406653372867,Crypto
2023-11-15,BTC-INR,0.06802177530580278,Crypto
2023-11-16,BTC-INR,-0.04631424316969002,Crypto
2023-11-17,BTC-INR,0.014307679752549207,Crypto
2023-11-18,BTC-INR,-0.0003000129502582771,Crypto
2023-11-19,BTC-INR,0.02189562208157425,Crypto
2023-11-20,BTC-INR,0.002781783421020423,Crypto
2023-11-21,BTC-INR,-0.04410837897800346,Crypto
2023-11-22,BTC-INR,0.045426183341954474,Crypto
2023-11-23,BTC-INR,-0.004055160176703931,Crypto
2023-11-24,BTC-INR,0.011201782181785802,Crypto
2023-11-25,BTC-INR,0.002028358033114852,Crypto
2023-11-26,BTC-INR,-0.008362404800092649,Crypto
2023-11-27,BTC-INR,-0.0054825416410413386,Crypto
2023-11-28,BTC-INR,0.015723561554734866,Crypto
2023-11-29,BTC-INR,9.787787298298767e-05,Crypto
2023-11-30,BTC-INR,-0.003572470084792778,Crypto
2023-12-01,BTC-INR,0.024617225544398602,Crypto
2023-12-02,BTC-INR,0.020356963280188767,Crypto
2023-12-03,BTC-INR,0.012532061761233004,Crypto
2023-12-04,BTC-INR,0.05254850224992147,Crypto
2023-12-05,BTC-INR,0.04861822809711125,Crypto
2023-12-06,BTC-INR,-0.007425474848729352,Crypto
2023-12-07,BTC-INR,-0.010105706647508761,Crypto
2023-12-08,BTC-INR,0.02111191458189543,Crypto
2023-12-09,BTC-INR,-0.009976159041042543,Crypto
2023-12-10,BTC-INR,0.0013004120392825502,Crypto
